# step _log_shift e_coul e_kin e_tot ess nans reweight_mean std_e var_e acc hacc hop_acc mc_hp lr
0.000000000000000000e+00 -3.531613420358847844e-03 -6.683447414503682182e+01 3.797328514492176623e+02 3.142187126312434202e+02 4.356369913030871999e+02 0.000000000000000000e+00 9.964746153915737814e-01 2.588430729447618006e+01 6.699973641148727665e+02 8.901367187500000000e-01 8.345471321507184070e-01 nan 5.523732038044991584e-03 1.000000629574060440e-04
1.000000000000000000e+00 9.534779715744678974e-03 -6.685851754205665998e+01 3.687507959067725096e+02 3.143254122719844190e+02 4.367211869693751964e+02 0.000000000000000000e+00 1.009580380543911859e+00 2.672200687442673228e+01 7.140656513969096295e+02 8.899902105331420898e-01 5.858090845878015651e-01 nan 5.523732038044991584e-03 1.090000732801854610e-04
2.000000000000000000e+00 2.407482142261624380e-02 -6.669954165506365484e+01 3.745237330948713179e+02 3.136233217634066932e+02 4.463658914458524123e+02 0.000000000000000000e+00 1.024366959616563877e+00 2.600187737640810326e+01 6.760976270977636204e+02 8.918945789337158203e-01 7.980046321570959389e-01 nan 5.523732038044991584e-03 1.180000253953039646e-04
3.000000000000000000e+00 7.558040363908669068e-03 -6.665928277481168607e+01 3.744426911610160005e+02 3.127088390240477906e+02 4.369946909250612066e+02 0.000000000000000000e+00 1.007586674444700625e+00 2.734848938486589986e+01 7.479398716341227100e+02 8.920898437500000000e-01 2.808902022748149818e-01 nan 5.523732038044991584e-03 1.270000357180833817e-04
4.000000000000000000e+00 -4.295485739394810931e-03 -6.670899878720186393e+01 3.808258514645154946e+02 3.129854895724847097e+02 4.380021483542652732e+02 0.000000000000000000e+00 9.957137266641707951e-01 2.651398800575303483e+01 7.029915599692157002e+02 8.946777582168579102e-01 8.180478297490051398e-01 nan 5.523732038044991584e-03 1.360001042485237122e-04
5.000000000000000000e+00 3.445633394270619654e-03 -6.690517306903531392e+01 3.832979720556986081e+02 3.139396047686823863e+02 4.371894285453365683e+02 0.000000000000000000e+00 1.003451576412875301e+00 2.652896176508031445e+01 7.037858123330933040e+02 8.892577886581420898e-01 8.212464667948857766e-01 nan 5.523732038044991584e-03 1.450000563636422157e-04
6.000000000000000000e+00 1.401315384010931586e-02 -6.667487305143855281e+01 3.656281571340961705e+02 3.144405595367218211e+02 4.467700346746858600e+02 0.000000000000000000e+00 1.014111798315208146e+00 2.610048223359883934e+01 6.812351728264086432e+02 8.887695074081420898e-01 6.236349056781165245e-01 nan 5.523732038044991584e-03 1.540000666864216328e-04
7.000000000000000000e+00 2.173998458019565927e-02 -6.640084716427179501e+01 3.834398888084256782e+02 3.129243758971699663e+02 4.415607696996166851e+02 0.000000000000000000e+00 1.021978019876620403e+00 2.372331086778137532e+01 5.627954785293939040e+02 8.911132812500000000e-01 9.283353730070741106e-02 nan 5.523732038044991584e-03 1.630000770092010498e-04
8.000000000000000000e+00 5.126222486525611188e-04 -6.669413891824336815e+01 3.501355726411376850e+02 3.135662309402243864e+02 4.364703190826115247e+02 0.000000000000000000e+00 1.000512753661891630e+00 2.702451433464255004e+01 7.303243750233006040e+02 8.963379263877868652e-01 7.986372465229653050e-01 nan 5.523732038044991584e-03 1.720000291243195534e-04
9.000000000000000000e+00 1.364661922270815619e-02 -6.662707766551078237e+01 3.924917476043019633e+02 3.126075286680119234e+02 4.419790715936009065e+02 0.000000000000000000e+00 1.013740159348644587e+00 2.513541456241027205e+01 6.317890652242264196e+02 8.944336175918579102e-01 8.361456706798465754e-01 nan 6.076105241849493604e-03 1.810000394470989704e-04
1.000000000000000000e+01 1.550070282610588324e-02 -6.641799254624656612e+01 3.835267057766903918e+02 3.135398136019258573e+02 4.421850636839083677e+02 0.000000000000000000e+00 1.015621461863337016e+00 2.505035524084664900e+01 6.275202976926130987e+02 8.805663585662841797e-01 5.562588200382883041e-01 nan 6.076105241849493604e-03 1.900001079775393009e-04
1.100000000000000000e+01 -1.266567176528204941e-02 -6.663212983824256241e+01 3.769865308587365007e+02 3.123669546541736395e+02 4.373409540133931728e+02 0.000000000000000000e+00 9.874142002886618918e-01 2.763535124797884279e+01 7.637126385991658708e+02 8.820312023162841797e-01 6.829098358614266173e-01 nan 6.076105241849493604e-03 1.990000600926578045e-04
1.200000000000000000e+01 1.060998459400230853e-02 -6.667038022483913551e+01 3.837496612857274840e+02 3.121426649138939524e+02 4.409091928500402560e+02 0.000000000000000000e+00 1.010666470073813716e+00 2.575243540970561185e+01 6.631879295310594671e+02 8.850097656250000000e-01 7.778590654558867890e-01 nan 6.076105241849493604e-03 2.080000704154372215e-04
1.300000000000000000e+01 7.945725922282598219e-03 -6.648000412316375218e+01 3.860402160667127873e+02 3.117300765985709745e+02 4.372647131181186069e+02 0.000000000000000000e+00 1.007977376977164052e+00 2.773402664351948133e+01 7.691762338634484877e+02 8.834960460662841797e-01 5.174560765081716029e-01 nan 6.076105241849493604e-03 2.170000807382166386e-04
1.400000000000000000e+01 -2.428957692089428466e-02 -6.680294450499657444e+01 3.606327938144519294e+02 3.105058252576769178e+02 4.286100814149694429e+02 0.000000000000000000e+00 9.760030408773318067e-01 2.831677725954065039e+01 8.018398743664384938e+02 8.855468630790710449e-01 7.937903957594889537e-01 nan 6.076105241849493604e-03 2.260000328533351421e-04
