# step e_coul e_kin e_tot nans std_e var_e acc hacc hop_acc mc_hp lr
0.000000000000000000e+00 -6.728072298593072276e+01 3.813843711652149295e+02 3.141036481792841641e+02 0.000000000000000000e+00 2.637252354702602730e+01 6.955099982384422219e+02 8.904784917831420898e-01 6.821379567177048020e-02 nan 5.523732038044991584e-03 1.000000629574060440e-04
1.000000000000000000e+00 -6.737286933295303015e+01 3.826905814067602023e+02 3.153177120738072290e+02 0.000000000000000000e+00 2.578460650847874192e+01 6.648459327970842878e+02 8.906738758087158203e-01 6.522515951680858404e-01 nan 5.523732038044991584e-03 1.090000732801854610e-04
2.000000000000000000e+00 -6.739990263899611023e+01 3.816714335253671493e+02 3.142715308863710106e+02 0.000000000000000000e+00 2.635367129928301111e+01 6.945159909506531903e+02 8.865234255790710449e-01 6.727625285778742192e-01 nan 5.523732038044991584e-03 1.180000253953039646e-04
3.000000000000000000e+00 -6.740190405406671914e+01 3.812438426515197989e+02 3.138419385974531224e+02 0.000000000000000000e+00 2.558703807685965614e+01 6.546965175466658593e+02 8.887695074081420898e-01 3.515549536923953111e-01 nan 5.523732038044991584e-03 1.270000357180833817e-04
4.000000000000000000e+00 -6.730548117797621899e+01 3.817818902839535440e+02 3.144764091059773818e+02 0.000000000000000000e+00 2.651263040180710107e+01 7.029195708228262447e+02 8.907715082168579102e-01 7.934204395785398045e-01 nan 5.523732038044991584e-03 1.360001042485237122e-04
5.000000000000000000e+00 -6.737487907269186849e+01 3.809799359060521624e+02 3.136050568333602087e+02 0.000000000000000000e+00 2.721281781131075306e+01 7.405374532315918259e+02 8.862793445587158203e-01 1.409062037290137737e-01 nan 5.523732038044991584e-03 1.450000563636422157e-04
6.000000000000000000e+00 -6.744657969479631276e+01 3.820039475547604297e+02 3.145573678599640743e+02 0.000000000000000000e+00 2.939245127859167539e+01 8.639161921643855067e+02 8.940429091453552246e-01 1.573684995751573057e-01 nan 5.523732038044991584e-03 1.540000666864216328e-04
7.000000000000000000e+00 -6.738083251770680704e+01 3.819633210078501406e+02 3.145824884901433052e+02 0.000000000000000000e+00 2.490328603435122190e+01 6.201736553087126822e+02 8.933593630790710449e-01 8.121871948551483422e-01 nan 5.523732038044991584e-03 1.630000770092010498e-04
8.000000000000000000e+00 -6.738170003239368100e+01 3.818114579868390024e+02 3.144297579544453356e+02 0.000000000000000000e+00 2.539944927408232900e+01 6.451320234266813713e+02 8.931640982627868652e-01 6.744722682851721496e-01 nan 5.523732038044991584e-03 1.720000291243195534e-04
9.000000000000000000e+00 -6.739231800124197491e+01 3.805888635638557957e+02 3.131965455626138350e+02 0.000000000000000000e+00 2.555454770755397575e+01 6.530349085376520861e+02 8.871581554412841797e-01 4.110059221078073421e-01 nan 5.021574580040903332e-03 1.810000394470989704e-04
1.000000000000000000e+01 -6.741232106994230833e+01 3.816546484397945278e+02 3.142423273698521484e+02 0.000000000000000000e+00 3.278473166010310536e+01 1.074838630024966960e+03 8.998047113418579102e-01 8.118042862979006902e-01 nan 5.021574580040903332e-03 1.900001079775393009e-04
